nada-1,10pf-1,10pf-2,nada-2,39pf-1,conect-1,22pf-1,22pf-2,conect-2
21947,22764,23791,23839,19910,20284,20025,21720,16313
21947,22820,23812,23957,20047,20330,20030,21120,15809
21897,22846,23806,23993,20150,20024,20245,21227,15795
21961,22907,23817,23908,20190,20153,20241,21227,15480
21947,22899,23853,23874,20270,19672,20233,21490,15552
21953,22989,23955,23957,20275,19614,20110,21378,15487
21820,23035,23990,23957,20277,19734,20095,21635,15587
21818,23086,23908,23753,20030,19766,19887,21577,15512
21701,23095,23802,23838,20020,19923,19901,21587,15429
21650,23160,23863,23869,20165,20133,20019,21719,15196
21555,23027,23853,23971,20174,20102,19719,21540,15200
21650,22980,23850,23942,19995,18950,19650,21515,15768
21676,22976,23948,23926,19983,18631,19671,21649,15945
21731,22840,23934,23858,19750,18616,19806,21651,15995
21675,22836,23937,23875,19740,18713,19754,21364,15816
21631,22848,23931,23890,19506,19020,19805,21248,15828
21633,22823,23847,24000,19521,19131,19636,21242,15778
21657,22814,23502,23994,19828,18812,19820,21251,15597
21719,22847,23424,23973,19951,18379,19883,21147,15596
21733,22821,23397,23996,20055,18642,19924,21115,15241
21858,22892,23284,23804,20157,18658,19896,21154,15401
21867,22927,22900,23823,20203,18859,19846,21166,15417
21916,22925,22569,23893,20260,18856,19875,21150,15708
21950,22782,22540,23894,20420,18846,19775,21331,15533
21948,22630,22558,23924,20466,18700,19915,21334,15624
21851,22660,22617,23707,20145,18733,19977,21250,15607
21971,22657,22474,23645,20118,18982,19974,20906,15903
21986,22313,22342,23647,19940,19080,19931,20974,15838
22031,22235,22333,23104,19893,19128,20048,21449,15945
21993,22235,22435,22903,19273,19137,19748,21358,15771
21996,21745,22575,22918,19240,19241,20063,21363,15834
21993,21584,22566,23083,18856,19303,20155,21482,15727
22033,21618,22483,23091,18947,19529,20156,21350,15419
22018,22042,22467,23083,18425,19530,20115,21102,15572
22007,22207,22473,23215,18404,19586,20267,20917,15466
21986,22262,22498,23308,18615,19775,20286,20615,15305
